frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
43, 0, 1.680, 0.98, 1, -0.03, 0.11, 0.92, 0.91, -0.68, -0.07, 0.26, -0.53, 0.01, 0.10, 0.36, 0.99, 0.69, 1.40, 0.03, 0.61, -0.07, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
44, 0, 1.720, 0.98, 1, -0.18, 0.20, 0.67, 0.65, -0.67, 0.46, 0.31, -0.34, -0.10, -0.13, 0.30, 0.90, 0.61, 1.37, 0.72, 0.59, 0.00, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
45, 0, 1.760, 0.98, 1, -0.08, 0.26, 0.74, 0.72, -0.65, 0.54, 0.33, -0.28, -0.05, -0.12, 0.43, 0.71, 0.56, 1.23, 0.75, 0.64, 0.07, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
46, 0, 1.800, 0.98, 1, 0.13, 0.13, 0.96, 0.66, -0.59, 0.37, 0.30, -0.31, -0.13, 0.21, 0.17, 0.74, 0.63, 1.05, 0.72, 0.45, 0.10, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
47, 0, 1.840, 0.98, 1, 0.26, 0.15, 0.94, 0.76, -0.59, 0.44, 0.35, -0.29, -0.11, 0.16, 0.13, 0.78, 0.70, 1.02, 0.73, 0.40, 0.27, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
48, 0, 1.880, 0.98, 1, 0.23, 0.10, 1.04, 0.87, -0.53, 0.36, 0.41, -0.11, -0.16, 0.16, 0.26, 0.54, 0.73, 0.72, 1.13, 0.77, 0.04, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
49, 0, 1.920, 0.98, 1, 0.35, 0.45, 1.15, 1.05, -0.53, 0.44, 0.41, -0.03, -0.11, 0.16, 0.21, 0.37, 0.84, 0.58, 1.25, 0.62, 0.02, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
50, 0, 1.960, 0.98, 1, 0.27, 0.61, 0.96, 0.78, -0.52, 0.44, 0.45, -0.09, -0.16, 0.11, 0.27, 0.49, 0.76, 0.74, 0.90, 0.41, 0.19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
51, 0, 2.000, 0.98, 1, 0.30, 0.54, 1.02, 0.67, -0.55, 0.54, 0.51, -0.03, -0.17, 0.16, 0.30, 0.59, 0.75, 0.73, 0.98, 0.58, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
52, 0, 2.040, 0.98, 1, 0.24, 0.48, 1.00, 0.62, -0.56, 0.58, 0.50, -0.04, -0.16, 0.14, 0.31, 0.52, 0.71, 0.71, 1.00, 0.58, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
53, 0, 2.080, 0.98, 1, 0.28, 0.57, 1.18, 0.70, -0.64, 0.46, 0.39, -0.10, -0.17, 0.10, 0.29, 0.37, 0.76, 0.71, 1.05, 0.30, 0.12, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
54, 0, 2.120, 0.98, 1, 0.46, 0.67, 1.00, 0.59, -0.72, 0.38, 0.32, -0.06, -0.15, 0.15, 0.15, 0.36, 0.74, 0.77, 1.13, 0.27, 0.09, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
55, 0, 2.160, 0.98, 1, 0.42, 0.58, 1.09, 0.32, -0.64, 0.44, 0.29, -0.10, -0.15, 0.07, 0.24, 0.39, 0.72, 0.78, 1.11, 0.19, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
56, 0, 2.200, 0.98, 1, 0.41, 0.71, 1.01, 1.09, -0.63, 0.49, 0.34, -0.13, -0.13, 0.13, 0.05, 0.37, 0.52, 0.76, 1.20, 0.28, 0.14, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
57, 0, 2.240, 0.98, 1, 0.36, 0.77, 1.07, 1.08, -0.68, 0.31, 0.37, -0.14, -0.16, 0.16, 0.09, 0.34, 0.57, 0.69, 1.15, 0.23, 0.03, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
58, 0, 2.280, 0.98, 1, 0.45, 0.70, 1.18, 0.75, -0.66, 0.26, 0.35, -0.16, -0.22, 0.23, 0.05, 0.49, 0.59, 0.47, 1.19, 0.20, 0.25, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
59, 0, 2.320, 0.98, 1, 0.42, 0.59, 1.15, 0.75, -0.69, 0.08, 0.33, -0.12, -0.24, 0.12, 0.12, 0.56, 0.73, 0.53, 1.17, 0.27, 0.31, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
60, 0, 2.360, 0.98, 1, 0.54, 0.55, 1.25, 0.94, -0.68, 0.42, 0.32, -0.30, -0.36, -0.09, 0.19, 0.63, 0.30, 0.31, 1.20, 0.80, 0.76, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
61, 0, 2.400, 0.98, 1, 0.57, 0.25, 1.29, 0.58, -0.82, 0.46, 0.36, -0.42, -0.56, -0.08, 0.19, 0.57, 0.20, 0.26, 0.93, 0.99, 0.27, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
62, 0, 2.440, 0.98, 1, 0.07, -0.20, 1.09, 0.71, -0.61, 0.33, 0.51, -0.43, -0.53, -0.04, 0.11, 0.38, 0.59, -0.02, 1.25, 0.77, 0.41, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
63, 0, 2.480, 0.98, 1, 0.49, 0.43, 1.37, 0.66, -0.78, 0.57, 0.36, -0.31, -0.55, 0.16, 0.19, 0.74, 0.07, 0.03, 1.07, 0.81, 0.13, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
64, 0, 2.520, 0.98, 1, 0.38, 0.12, 1.31, 0.38, -0.76, 0.43, 0.39, -0.36, -0.52, 0.09, 0.20, 0.83, 0.12, 0.14, 1.06, 0.87, 0.28, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
65, 0, 2.560, 0.98, 1, -0.12, -0.40, 1.13, 0.53, -0.70, 0.46, 0.50, -0.55, -0.54, 0.13, 0.31, 0.33, 0.31, -0.08, 0.91, 0.91, 0.74, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
